Sim, Time step, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, 
1, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Stop, white, 5, 2, 0, Go, white, 5, 3, 0, Go, white, 4, 5, 0, Go, , 
1, 2, green, 2, 5, -2, Go, red, 5, 1, -2, Stop, white, 5, 3, -2, Go, white, 5, 4, -2, Go, white, 4, 6, -2, Go, , 
1, 3, green, 3, 5, -4, Go, red, 5, 1, -4, Go, white, 5, 4, -4, Go, white, 5, 5, -4, Go, white, 4, 7, -4, Go, , 
1, 4, green, 4, 5, -6, Go, red, 5, 2, -6, Go, white, 5, 5, -6, Go, white, 5, 6, -6, Go, white, 4, 8, -6, Go, , 
1, 5, green, 5, 5, -8, Go, red, 5, 3, -8, Go, white, 5, 6, -8, Go, white, 5, 7, -8, Go, white, 4, 9, -8, Exited, , 
1, 6, green, 6, 5, -10, Go, red, 5, 4, -10, Stop, white, 5, 7, -10, Go, white, 5, 8, -10, Go, ,,,,, , 
1, 7, green, 7, 5, -12, Go, red, 5, 4, -12, Go, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, ,,,,, , 
1, 8, green, 8, 5, -14, Go, red, 5, 5, -14, Go, white, 5, 9, -14, Exited, ,,,,, ,,,,, , 
1, 9, green, 9, 5, -16, Exited, red, 5, 6, -16, Go, ,,,,, ,,,,, ,,,,, , 
1, 10, ,,,,, red, 5, 7, -18, Go, ,,,,, ,,,,, ,,,,, , 
1, 11, ,,,,, red, 5, 8, -20, Go, ,,,,, ,,,,, ,,,,, , 
1, 12, ,,,,, red, 5, 9, -22, Exited, ,,,,, ,,,,, ,,,,, , 


2, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, white, 4, 5, 0, Go, , 
2, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Stop, white, 5, 3, -2, Go, white, 5, 4, -2, Go, white, 4, 6, -2, Go, , 
2, 3, green, 3, 5, -4, Go, red, 5, 2, -4, Stop, white, 5, 4, -4, Go, white, 5, 5, -4, Go, white, 4, 7, -4, Go, , 
2, 4, green, 4, 5, -6, Go, red, 5, 2, -6, Go, white, 5, 5, -6, Go, white, 5, 6, -6, Go, white, 4, 8, -6, Go, , 
2, 5, green, 5, 5, -8, Go, red, 5, 3, -8, Go, white, 5, 6, -8, Go, white, 5, 7, -8, Go, white, 4, 9, -8, Exited, , 
2, 6, green, 6, 5, -10, Go, red, 5, 4, -10, Stop, white, 5, 7, -10, Go, white, 5, 8, -10, Go, ,,,,, , 
2, 7, green, 7, 5, -12, Go, red, 5, 4, -12, Go, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, ,,,,, , 
2, 8, green, 8, 5, -14, Go, red, 5, 5, -14, Go, white, 5, 9, -14, Exited, ,,,,, ,,,,, , 
2, 9, green, 9, 5, -16, Exited, red, 5, 6, -16, Go, ,,,,, ,,,,, ,,,,, , 
2, 10, ,,,,, red, 5, 7, -18, Go, ,,,,, ,,,,, ,,,,, , 
2, 11, ,,,,, red, 5, 8, -20, Go, ,,,,, ,,,,, ,,,,, , 
2, 12, ,,,,, red, 5, 9, -22, Exited, ,,,,, ,,,,, ,,,,, , 


3, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, white, 4, 5, 0, Go, , 
3, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Stop, white, 5, 3, -2, Go, white, 5, 4, -2, Go, white, 4, 6, -2, Go, , 
3, 3, green, 3, 5, -4, Go, red, 5, 2, -4, Stop, white, 5, 4, -4, Go, white, 5, 5, -4, Go, white, 4, 7, -4, Go, , 
3, 4, green, 4, 5, -6, Go, red, 5, 2, -6, Go, white, 5, 5, -6, Go, white, 5, 6, -6, Go, white, 4, 8, -6, Go, , 
3, 5, green, 5, 5, -8, Go, red, 5, 3, -8, Go, white, 5, 6, -8, Go, white, 5, 7, -8, Go, white, 4, 9, -8, Exited, , 
3, 6, green, 6, 5, -10, Go, red, 5, 4, -10, Stop, white, 5, 7, -10, Go, white, 5, 8, -10, Go, ,,,,, , 
3, 7, green, 7, 5, -12, Go, red, 5, 4, -12, Go, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, ,,,,, , 
3, 8, green, 8, 5, -14, Go, red, 5, 5, -14, Go, white, 5, 9, -14, Exited, ,,,,, ,,,,, , 
3, 9, green, 9, 5, -16, Exited, red, 5, 6, -16, Go, ,,,,, ,,,,, ,,,,, , 
3, 10, ,,,,, red, 5, 7, -18, Go, ,,,,, ,,,,, ,,,,, , 
3, 11, ,,,,, red, 5, 8, -20, Go, ,,,,, ,,,,, ,,,,, , 
3, 12, ,,,,, red, 5, 9, -22, Exited, ,,,,, ,,,,, ,,,,, , 


4, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, white, 4, 5, 0, Go, , 
4, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Stop, white, 5, 3, -2, Go, white, 5, 4, -2, Go, white, 4, 6, -2, Go, , 
4, 3, green, 3, 5, -4, Go, red, 5, 2, -4, Go, white, 5, 4, -4, Go, white, 5, 5, -4, Go, white, 4, 7, -4, Go, , 
4, 4, green, 4, 5, -6, Stop, red, 5, 3, -6, Go, white, 5, 5, -6, Go, white, 5, 6, -6, Go, white, 4, 8, -6, Go, , 
4, 5, green, 4, 5, -8, Go, red, 5, 4, -8, Stop, white, 5, 6, -8, Go, white, 5, 7, -8, Go, white, 4, 9, -8, Exited, , 
4, 6, green, 5, 5, -10, Go, red, 5, 4, -10, Go, white, 5, 7, -10, Go, white, 5, 8, -10, Go, ,,,,, , 
4, 7, green, 6, 5, -12, Go, red, 5, 5, -12, Go, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, ,,,,, , 
4, 8, green, 7, 5, -14, Go, red, 5, 6, -14, Go, white, 5, 9, -14, Exited, ,,,,, ,,,,, , 
4, 9, green, 8, 5, -16, Go, red, 5, 7, -16, Go, ,,,,, ,,,,, ,,,,, , 
4, 10, green, 9, 5, -18, Exited, red, 5, 8, -18, Go, ,,,,, ,,,,, ,,,,, , 
4, 11, ,,,,, red, 5, 9, -20, Exited, ,,,,, ,,,,, ,,,,, , 


5, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, white, 4, 5, 0, Go, , 
5, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Stop, white, 5, 3, -2, Go, white, 5, 4, -2, Go, white, 4, 6, -2, Go, , 
5, 3, green, 3, 5, -4, Go, red, 5, 2, -4, Stop, white, 5, 4, -4, Go, white, 5, 5, -4, Go, white, 4, 7, -4, Go, , 
5, 4, green, 4, 5, -6, Go, red, 5, 2, -6, Go, white, 5, 5, -6, Go, white, 5, 6, -6, Go, white, 4, 8, -6, Go, , 
5, 5, green, 5, 5, -8, Go, red, 5, 3, -8, Go, white, 5, 6, -8, Go, white, 5, 7, -8, Go, white, 4, 9, -8, Exited, , 
5, 6, green, 6, 5, -10, Go, red, 5, 4, -10, Stop, white, 5, 7, -10, Go, white, 5, 8, -10, Go, ,,,,, , 
5, 7, green, 7, 5, -12, Go, red, 5, 4, -12, Go, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, ,,,,, , 
5, 8, green, 8, 5, -14, Go, red, 5, 5, -14, Go, white, 5, 9, -14, Exited, ,,,,, ,,,,, , 
5, 9, green, 9, 5, -16, Exited, red, 5, 6, -16, Go, ,,,,, ,,,,, ,,,,, , 
5, 10, ,,,,, red, 5, 7, -18, Go, ,,,,, ,,,,, ,,,,, , 
5, 11, ,,,,, red, 5, 8, -20, Go, ,,,,, ,,,,, ,,,,, , 
5, 12, ,,,,, red, 5, 9, -22, Exited, ,,,,, ,,,,, ,,,,, , 


6, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Stop, white, 5, 2, 0, Go, white, 5, 3, 0, Go, white, 4, 5, 0, Go, , 
6, 2, green, 2, 5, -2, Go, red, 5, 1, -2, Go, white, 5, 3, -2, Go, white, 5, 4, -2, Go, white, 4, 6, -2, Go, , 
6, 3, green, 3, 5, -4, Go, red, 5, 2, -4, Stop, white, 5, 4, -4, Go, white, 5, 5, -4, Go, white, 4, 7, -4, Go, , 
6, 4, green, 4, 5, -6, Go, red, 5, 2, -6, Go, white, 5, 5, -6, Go, white, 5, 6, -6, Go, white, 4, 8, -6, Go, , 
6, 5, green, 5, 5, -8, Go, red, 5, 3, -8, Go, white, 5, 6, -8, Go, white, 5, 7, -8, Go, white, 4, 9, -8, Exited, , 
6, 6, green, 6, 5, -10, Go, red, 5, 4, -10, Stop, white, 5, 7, -10, Go, white, 5, 8, -10, Go, ,,,,, , 
6, 7, green, 7, 5, -12, Go, red, 5, 4, -12, Go, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, ,,,,, , 
6, 8, green, 8, 5, -14, Go, red, 5, 5, -14, Go, white, 5, 9, -14, Exited, ,,,,, ,,,,, , 
6, 9, green, 9, 5, -16, Exited, red, 5, 6, -16, Go, ,,,,, ,,,,, ,,,,, , 
6, 10, ,,,,, red, 5, 7, -18, Go, ,,,,, ,,,,, ,,,,, , 
6, 11, ,,,,, red, 5, 8, -20, Go, ,,,,, ,,,,, ,,,,, , 
6, 12, ,,,,, red, 5, 9, -22, Exited, ,,,,, ,,,,, ,,,,, , 


7, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, white, 4, 5, 0, Go, , 
7, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Stop, white, 5, 3, -2, Go, white, 5, 4, -2, Go, white, 4, 6, -2, Go, , 
7, 3, green, 3, 5, -4, Go, red, 5, 2, -4, Stop, white, 5, 4, -4, Go, white, 5, 5, -4, Go, white, 4, 7, -4, Go, , 
7, 4, green, 4, 5, -6, Go, red, 5, 2, -6, Go, white, 5, 5, -6, Go, white, 5, 6, -6, Go, white, 4, 8, -6, Go, , 
7, 5, green, 5, 5, -8, Go, red, 5, 3, -8, Go, white, 5, 6, -8, Go, white, 5, 7, -8, Go, white, 4, 9, -8, Exited, , 
7, 6, green, 6, 5, -10, Go, red, 5, 4, -10, Stop, white, 5, 7, -10, Go, white, 5, 8, -10, Go, ,,,,, , 
7, 7, green, 7, 5, -12, Go, red, 5, 4, -12, Go, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, ,,,,, , 
7, 8, green, 8, 5, -14, Go, red, 5, 5, -14, Go, white, 5, 9, -14, Exited, ,,,,, ,,,,, , 
7, 9, green, 9, 5, -16, Exited, red, 5, 6, -16, Go, ,,,,, ,,,,, ,,,,, , 
7, 10, ,,,,, red, 5, 7, -18, Go, ,,,,, ,,,,, ,,,,, , 
7, 11, ,,,,, red, 5, 8, -20, Go, ,,,,, ,,,,, ,,,,, , 
7, 12, ,,,,, red, 5, 9, -22, Exited, ,,,,, ,,,,, ,,,,, , 


8, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, white, 4, 5, 0, Go, , 
8, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Stop, white, 5, 3, -2, Go, white, 5, 4, -2, Go, white, 4, 6, -2, Go, , 
8, 3, green, 3, 5, -4, Go, red, 5, 2, -4, Go, white, 5, 4, -4, Go, white, 5, 5, -4, Go, white, 4, 7, -4, Go, , 
8, 4, green, 4, 5, -6, Stop, red, 5, 3, -6, Go, white, 5, 5, -6, Go, white, 5, 6, -6, Go, white, 4, 8, -6, Go, , 
8, 5, green, 4, 5, -8, Go, red, 5, 4, -8, Stop, white, 5, 6, -8, Go, white, 5, 7, -8, Go, white, 4, 9, -8, Exited, , 
8, 6, green, 5, 5, -10, Go, red, 5, 4, -10, Go, white, 5, 7, -10, Go, white, 5, 8, -10, Go, ,,,,, , 
8, 7, green, 6, 5, -12, Go, red, 5, 5, -12, Go, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, ,,,,, , 
8, 8, green, 7, 5, -14, Go, red, 5, 6, -14, Go, white, 5, 9, -14, Exited, ,,,,, ,,,,, , 
8, 9, green, 8, 5, -16, Go, red, 5, 7, -16, Go, ,,,,, ,,,,, ,,,,, , 
8, 10, green, 9, 5, -18, Exited, red, 5, 8, -18, Go, ,,,,, ,,,,, ,,,,, , 
8, 11, ,,,,, red, 5, 9, -20, Exited, ,,,,, ,,,,, ,,,,, , 


9, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, white, 4, 5, 0, Go, , 
9, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Stop, white, 5, 3, -2, Go, white, 5, 4, -2, Go, white, 4, 6, -2, Go, , 
9, 3, green, 3, 5, -4, Go, red, 5, 2, -4, Stop, white, 5, 4, -4, Go, white, 5, 5, -4, Go, white, 4, 7, -4, Go, , 
9, 4, green, 4, 5, -6, Go, red, 5, 2, -6, Go, white, 5, 5, -6, Go, white, 5, 6, -6, Go, white, 4, 8, -6, Go, , 
9, 5, green, 5, 5, -8, Go, red, 5, 3, -8, Go, white, 5, 6, -8, Go, white, 5, 7, -8, Go, white, 4, 9, -8, Exited, , 
9, 6, green, 6, 5, -10, Go, red, 5, 4, -10, Stop, white, 5, 7, -10, Go, white, 5, 8, -10, Go, ,,,,, , 
9, 7, green, 7, 5, -12, Go, red, 5, 4, -12, Go, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, ,,,,, , 
9, 8, green, 8, 5, -14, Go, red, 5, 5, -14, Go, white, 5, 9, -14, Exited, ,,,,, ,,,,, , 
9, 9, green, 9, 5, -16, Exited, red, 5, 6, -16, Go, ,,,,, ,,,,, ,,,,, , 
9, 10, ,,,,, red, 5, 7, -18, Go, ,,,,, ,,,,, ,,,,, , 
9, 11, ,,,,, red, 5, 8, -20, Go, ,,,,, ,,,,, ,,,,, , 
9, 12, ,,,,, red, 5, 9, -22, Exited, ,,,,, ,,,,, ,,,,, , 


10, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Stop, white, 5, 2, 0, Go, white, 5, 3, 0, Go, white, 4, 5, 0, Go, , 
10, 2, green, 2, 5, -2, Go, red, 5, 1, -2, Stop, white, 5, 3, -2, Go, white, 5, 4, -2, Go, white, 4, 6, -2, Go, , 
10, 3, green, 3, 5, -4, Go, red, 5, 1, -4, Go, white, 5, 4, -4, Go, white, 5, 5, -4, Go, white, 4, 7, -4, Go, , 
10, 4, green, 4, 5, -6, Go, red, 5, 2, -6, Go, white, 5, 5, -6, Go, white, 5, 6, -6, Go, white, 4, 8, -6, Go, , 
10, 5, green, 5, 5, -8, Go, red, 5, 3, -8, Go, white, 5, 6, -8, Go, white, 5, 7, -8, Go, white, 4, 9, -8, Exited, , 
10, 6, green, 6, 5, -10, Go, red, 5, 4, -10, Go, white, 5, 7, -10, Go, white, 5, 8, -10, Go, ,,,,, , 
10, 7, green, 7, 5, -12, Go, red, 5, 5, -12, Go, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, ,,,,, , 
10, 8, green, 8, 5, -14, Go, red, 5, 6, -14, Go, white, 5, 9, -14, Exited, ,,,,, ,,,,, , 
10, 9, green, 9, 5, -16, Exited, red, 5, 7, -16, Go, ,,,,, ,,,,, ,,,,, , 
10, 10, ,,,,, red, 5, 8, -18, Go, ,,,,, ,,,,, ,,,,, , 
10, 11, ,,,,, red, 5, 9, -20, Exited, ,,,,, ,,,,, ,,,,, , 


