Sim, Time step, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, 
1, 1, green, 1, 1, 0, Go, red, 2, 1, 0, Go, white, 1, 2, 0, Go, , 
1, 2, green, 1, 2, 0, Go, red, 2, 2, -2, Go, white, 1, 3, 0, Go, , 
1, 3, green, 1, 3, 0, Lane, red, 2, 3, -4, Lane, white, 1, 4, 0, Go, , 
1, 4, green, 2, 3, -5, Go, red, 1, 3, -7, Go, white, 1, 5, 0, Go, , 
1, 5, green, 2, 4, -7, Go, red, 1, 4, -7, Go, white, 1, 6, 0, Go, , 
1, 6, green, 2, 5, -9, Go, red, 1, 5, -7, Go, white, 1, 7, 0, Go, , 
1, 7, green, 2, 6, -11, Go, red, 1, 6, -7, Go, white, 1, 8, 0, Go, , 
1, 8, green, 2, 7, -13, Go, red, 1, 7, -7, Go, white, 1, 9, 0, Exited, , 
1, 9, green, 2, 8, -15, Go, red, 1, 8, -9, Go, ,,,,, , 
1, 10, green, 2, 9, -17, Exited, red, 1, 9, -11, Exited, ,,,,, , 


2, 1, green, 1, 1, 0, Go, red, 2, 1, 0, Go, white, 1, 2, 0, Go, , 
2, 2, green, 1, 2, 0, Lane, red, 2, 2, -2, Go, white, 1, 3, 0, Go, , 
2, 3, green, 2, 2, -3, Go, red, 2, 3, -2, Go, white, 1, 4, -2, Go, , 
2, 4, green, 2, 3, -3, Go, red, 2, 4, -2, Go, white, 1, 5, -4, Go, , 
2, 5, green, 2, 4, -3, Go, red, 2, 5, -2, Go, white, 1, 6, -6, Go, , 
2, 6, green, 2, 5, -3, Go, red, 2, 6, -2, Go, white, 1, 7, -8, Go, , 
2, 7, green, 2, 6, -3, Go, red, 2, 7, -2, Go, white, 1, 8, -10, Go, , 
2, 8, green, 2, 7, -3, Go, red, 2, 8, -2, Go, white, 1, 9, -12, Exited, , 
2, 9, green, 2, 8, -3, Go, red, 2, 9, -2, Exited, ,,,,, , 
2, 10, green, 2, 9, -5, Exited, ,,,,, ,,,,, , 


