Sim, Time step, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, 
19, 11, green, 9, 5, -20, Exited, red, 5, 8, -20, Go, ,,,,, ,,,,, , 
19, 12, ,,,,, red, 5, 9, -22, Exited, ,,,,, ,,,,, , 


20, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, , 
20, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, white, 5, 3, -2, Go, white, 5, 4, -2, Go, , 
20, 3, green, 3, 5, -4, Stop, red, 5, 3, -4, Stop, white, 5, 4, -4, Go, white, 5, 5, -4, Go, , 
20, 4, green, 3, 5, -6, Stop, red, 5, 3, -6, Stop, white, 5, 5, -6, Go, white, 5, 6, -6, Go, , 
20, 5, green, 3, 5, -8, Go, red, 5, 3, -8, Go, white, 5, 6, -8, Go, white, 5, 7, -8, Go, , 
20, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, white, 5, 7, -10, Go, white, 5, 8, -10, Go, , 
20, 7, green, 4, 5, -12, Go, red, 5, 4, -12, Go, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, , 
20, 8, green, 5, 5, -19, Crashed, red, 5, 5, -19, Crashed, white, 5, 9, -14, Exited, ,,,,, , 



21, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, , 
21, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Stop, white, 5, 3, -2, Go, white, 5, 4, -2, Go, , 
21, 3, green, 3, 5, -4, Go, red, 5, 2, -4, Stop, white, 5, 4, -4, Go, white, 5, 5, -4, Go, , 
21, 4, green, 4, 5, -6, Stop, red, 5, 2, -6, Stop, white, 5, 5, -6, Go, white, 5, 6, -6, Go, , 
21, 5, green, 4, 5, -8, Go, red, 5, 2, -8, Go, white, 5, 6, -8, Go, white, 5, 7, -8, Go, , 
21, 6, green, 5, 5, -10, Go, red, 5, 3, -10, Go, white, 5, 7, -10, Go, white, 5, 8, -10, Go, , 
21, 7, green, 6, 5, -12, Go, red, 5, 4, -12, Stop, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, , 
21, 8, green, 7, 5, -14, Go, red, 5, 4, -14, Go, white, 5, 9, -14, Exited, ,,,,, , 
21, 9, green, 8, 5, -16, Go, red, 5, 5, -16, Go, ,,,,, ,,,,, , 
21, 10, green, 9, 5, -18, Exited, red, 5, 6, -18, Go, ,,,,, ,,,,, , 
21, 11, ,,,,, red, 5, 7, -20, Go, ,,,,, ,,,,, , 
21, 12, ,,,,, red, 5, 8, -22, Go, ,,,,, ,,,,, , 
21, 13, ,,,,, red, 5, 9, -24, Exited, ,,,,, ,,,,, , 


22, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, , 
22, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Stop, white, 5, 3, -2, Go, white, 5, 4, -2, Go, , 
22, 3, green, 3, 5, -4, Go, red, 5, 2, -4, Stop, white, 5, 4, -4, Go, white, 5, 5, -4, Go, , 
22, 4, green, 4, 5, -6, Stop, red, 5, 2, -6, Stop, white, 5, 5, -6, Go, white, 5, 6, -6, Go, , 
22, 5, green, 4, 5, -8, Go, red, 5, 2, -8, Go, white, 5, 6, -8, Go, white, 5, 7, -8, Go, , 
22, 6, green, 5, 5, -10, Go, red, 5, 3, -10, Go, white, 5, 7, -10, Go, white, 5, 8, -10, Go, , 
22, 7, green, 6, 5, -12, Go, red, 5, 4, -12, Go, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, , 
22, 8, green, 7, 5, -14, Go, red, 5, 5, -14, Go, white, 5, 9, -14, Exited, ,,,,, , 
22, 9, green, 8, 5, -16, Go, red, 5, 6, -16, Go, ,,,,, ,,,,, , 
22, 10, green, 9, 5, -18, Exited, red, 5, 7, -18, Go, ,,,,, ,,,,, , 
22, 11, ,,,,, red, 5, 8, -20, Go, ,,,,, ,,,,, , 
22, 12, ,,,,, red, 5, 9, -22, Exited, ,,,,, ,,,,, , 


23, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, , 
23, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Stop, white, 5, 3, -2, Go, white, 5, 4, -2, Go, , 
23, 3, green, 3, 5, -4, Go, red, 5, 2, -4, Stop, white, 5, 4, -4, Go, white, 5, 5, -4, Go, , 
23, 4, green, 4, 5, -6, Stop, red, 5, 2, -6, Stop, white, 5, 5, -6, Go, white, 5, 6, -6, Go, , 
23, 5, green, 4, 5, -8, Go, red, 5, 2, -8, Go, white, 5, 6, -8, Go, white, 5, 7, -8, Go, , 
23, 6, green, 5, 5, -10, Go, red, 5, 3, -10, Go, white, 5, 7, -10, Go, white, 5, 8, -10, Go, , 
23, 7, green, 6, 5, -12, Go, red, 5, 4, -12, Go, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, , 
23, 8, green, 7, 5, -14, Go, red, 5, 5, -14, Go, white, 5, 9, -14, Exited, ,,,,, , 
23, 9, green, 8, 5, -16, Go, red, 5, 6, -16, Go, ,,,,, ,,,,, , 
23, 10, green, 9, 5, -18, Exited, red, 5, 7, -18, Go, ,,,,, ,,,,, , 
23, 11, ,,,,, red, 5, 8, -20, Go, ,,,,, ,,,,, , 
23, 12, ,,,,, red, 5, 9, -22, Exited, ,,,,, ,,,,, , 


24, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, , 
24, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Stop, white, 5, 3, -2, Go, white, 5, 4, -2, Go, , 
24, 3, green, 3, 5, -4, Stop, red, 5, 2, -4, Stop, white, 5, 4, -4, Go, white, 5, 5, -4, Go, , 
24, 4, green, 3, 5, -6, Go, red, 5, 2, -6, Stop, white, 5, 5, -6, Go, white, 5, 6, -6, Go, , 
24, 5, green, 4, 5, -8, Stop, red, 5, 2, -8, Stop, white, 5, 6, -8, Go, white, 5, 7, -8, Go, , 
24, 6, green, 4, 5, -10, Stop, red, 5, 2, -10, Go, white, 5, 7, -10, Go, white, 5, 8, -10, Go, , 
24, 7, green, 4, 5, -12, Go, red, 5, 3, -12, Go, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, , 
24, 8, green, 5, 5, -14, Go, red, 5, 4, -14, Go, white, 5, 9, -14, Exited, ,,,,, , 
24, 9, green, 6, 5, -16, Go, red, 5, 5, -16, Go, ,,,,, ,,,,, , 
24, 10, green, 7, 5, -18, Go, red, 5, 6, -18, Go, ,,,,, ,,,,, , 
24, 11, green, 8, 5, -20, Go, red, 5, 7, -20, Go, ,,,,, ,,,,, , 
24, 12, green, 9, 5, -22, Exited, red, 5, 8, -22, Go, ,,,,, ,,,,, , 
24, 13, ,,,,, red, 5, 9, -24, Exited, ,,,,, ,,,,, , 


25, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, , 
25, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Stop, white, 5, 3, -2, Go, white, 5, 4, -2, Go, , 
25, 3, green, 3, 5, -4, Go, red, 5, 2, -4, Stop, white, 5, 4, -4, Go, white, 5, 5, -4, Go, , 
25, 4, green, 4, 5, -6, Stop, red, 5, 2, -6, Go, white, 5, 5, -6, Go, white, 5, 6, -6, Go, , 
25, 5, green, 4, 5, -8, Go, red, 5, 3, -8, Go, white, 5, 6, -8, Go, white, 5, 7, -8, Go, , 
25, 6, green, 5, 5, -10, Go, red, 5, 4, -10, Go, white, 5, 7, -10, Go, white, 5, 8, -10, Go, , 
25, 7, green, 6, 5, -12, Go, red, 5, 5, -12, Go, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, , 
25, 8, green, 7, 5, -14, Go, red, 5, 6, -14, Go, white, 5, 9, -14, Exited, ,,,,, , 
25, 9, green, 8, 5, -16, Go, red, 5, 7, -16, Go, ,,,,, ,,,,, , 
25, 10, green, 9, 5, -18, Exited, red, 5, 8, -18, Go, ,,,,, ,,,,, , 
25, 11, ,,,,, red, 5, 9, -20, Exited, ,,,,, ,,,,, , 


26, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, , 
26, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Stop, white, 5, 3, -2, Go, white, 5, 4, -2, Go, , 
26, 3, green, 3, 5, -4, Go, red, 5, 2, -4, Stop, white, 5, 4, -4, Go, white, 5, 5, -4, Go, , 
26, 4, green, 4, 5, -6, Stop, red, 5, 2, -6, Stop, white, 5, 5, -6, Go, white, 5, 6, -6, Go, , 
26, 5, green, 4, 5, -8, Go, red, 5, 2, -8, Go, white, 5, 6, -8, Go, white, 5, 7, -8, Go, , 
26, 6, green, 5, 5, -10, Go, red, 5, 3, -10, Go, white, 5, 7, -10, Go, white, 5, 8, -10, Go, , 
26, 7, green, 6, 5, -12, Go, red, 5, 4, -12, Go, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, , 
26, 8, green, 7, 5, -14, Go, red, 5, 5, -14, Go, white, 5, 9, -14, Exited, ,,,,, , 
26, 9, green, 8, 5, -16, Go, red, 5, 6, -16, Go, ,,,,, ,,,,, , 
26, 10, green, 9, 5, -18, Exited, red, 5, 7, -18, Go, ,,,,, ,,,,, , 
26, 11, ,,,,, red, 5, 8, -20, Go, ,,,,, ,,,,, , 
26, 12, ,,,,, red, 5, 9, -22, Exited, ,,,,, ,,,,, , 


27, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, , 
27, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, white, 5, 3, -2, Go, white, 5, 4, -2, Go, , 
27, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Stop, white, 5, 4, -4, Go, white, 5, 5, -4, Go, , 
27, 4, green, 4, 5, -6, Stop, red, 5, 3, -6, Stop, white, 5, 5, -6, Go, white, 5, 6, -6, Go, , 
27, 5, green, 4, 5, -8, Stop, red, 5, 3, -8, Go, white, 5, 6, -8, Go, white, 5, 7, -8, Go, , 
27, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, white, 5, 7, -10, Go, white, 5, 8, -10, Go, , 
27, 7, green, 4, 5, -12, Stop, red, 5, 4, -12, Stop, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, , 
27, 8, green, 4, 5, -14, Stop, red, 5, 4, -14, Stop, white, 5, 9, -14, Exited, ,,,,, , 
27, 9, green, 4, 5, -16, Stop, red, 5, 4, -16, Stop, ,,,,, ,,,,, , 
27, 10, green, 4, 5, -18, Stop, red, 5, 4, -18, Stop, ,,,,, ,,,,, , 
27, 11, green, 4, 5, -20, Stop, red, 5, 4, -20, Go, ,,,,, ,,,,, , 
27, 12, green, 4, 5, -22, Go, red, 5, 5, -22, Go, ,,,,, ,,,,, , 
27, 13, green, 5, 5, -24, Go, red, 5, 6, -24, Go, ,,,,, ,,,,, , 
27, 14, green, 6, 5, -26, Go, red, 5, 7, -26, Go, ,,,,, ,,,,, , 
27, 15, green, 7, 5, -28, Go, red, 5, 8, -28, Go, ,,,,, ,,,,, , 
27, 16, green, 8, 5, -30, Go, red, 5, 9, -30, Exited, ,,,,, ,,,,, , 
27, 17, green, 9, 5, -32, Exited, ,,,,, ,,,,, ,,,,, , 


28, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, , 
28, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, white, 5, 3, -2, Go, white, 5, 4, -2, Go, , 
28, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Stop, white, 5, 4, -4, Go, white, 5, 5, -4, Go, , 
28, 4, green, 4, 5, -6, Stop, red, 5, 3, -6, Stop, white, 5, 5, -6, Go, white, 5, 6, -6, Go, , 
28, 5, green, 4, 5, -8, Stop, red, 5, 3, -8, Go, white, 5, 6, -8, Go, white, 5, 7, -8, Go, , 
28, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, white, 5, 7, -10, Go, white, 5, 8, -10, Go, , 
28, 7, green, 4, 5, -12, Stop, red, 5, 4, -12, Go, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, , 
28, 8, green, 4, 5, -14, Go, red, 5, 5, -14, Go, white, 5, 9, -14, Exited, ,,,,, , 
28, 9, green, 5, 5, -16, Go, red, 5, 6, -16, Go, ,,,,, ,,,,, , 
28, 10, green, 6, 5, -18, Go, red, 5, 7, -18, Go, ,,,,, ,,,,, , 
28, 11, green, 7, 5, -20, Go, red, 5, 8, -20, Go, ,,,,, ,,,,, , 
28, 12, green, 8, 5, -22, Go, red, 5, 9, -22, Exited, ,,,,, ,,,,, , 
28, 13, green, 9, 5, -24, Exited, ,,,,, ,,,,, ,,,,, , 


29, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, , 
29, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, white, 5, 3, -2, Go, white, 5, 4, -2, Go, , 
29, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Stop, white, 5, 4, -4, Go, white, 5, 5, -4, Go, , 
29, 4, green, 4, 5, -6, Stop, red, 5, 3, -6, Go, white, 5, 5, -6, Go, white, 5, 6, -6, Go, , 
29, 5, green, 4, 5, -8, Stop, red, 5, 4, -8, Stop, white, 5, 6, -8, Go, white, 5, 7, -8, Go, , 
29, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, white, 5, 7, -10, Go, white, 5, 8, -10, Go, , 
29, 7, green, 4, 5, -12, Stop, red, 5, 4, -12, Stop, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, , 
29, 8, green, 4, 5, -14, Stop, red, 5, 4, -14, Stop, white, 5, 9, -14, Exited, ,,,,, , 
29, 9, green, 4, 5, -16, Stop, red, 5, 4, -16, Stop, ,,,,, ,,,,, , 
29, 10, green, 4, 5, -18, Stop, red, 5, 4, -18, Go, ,,,,, ,,,,, , 
29, 11, green, 4, 5, -20, Stop, red, 5, 5, -20, Go, ,,,,, ,,,,, , 
29, 12, green, 4, 5, -22, Go, red, 5, 6, -22, Go, ,,,,, ,,,,, , 
29, 13, green, 5, 5, -24, Go, red, 5, 7, -24, Go, ,,,,, ,,,,, , 
29, 14, green, 6, 5, -26, Go, red, 5, 8, -26, Go, ,,,,, ,,,,, , 
29, 15, green, 7, 5, -28, Go, red, 5, 9, -28, Exited, ,,,,, ,,,,, , 
29, 16, green, 8, 5, -30, Go, ,,,,, ,,,,, ,,,,, , 
29, 17, green, 9, 5, -32, Exited, ,,,,, ,,,,, ,,,,, , 


30, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, , 
30, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Stop, white, 5, 3, -2, Go, white, 5, 4, -2, Go, , 
30, 3, green, 3, 5, -4, Go, red, 5, 2, -4, Stop, white, 5, 4, -4, Go, white, 5, 5, -4, Go, , 
30, 4, green, 4, 5, -6, Stop, red, 5, 2, -6, Stop, white, 5, 5, -6, Go, white, 5, 6, -6, Go, , 
30, 5, green, 4, 5, -8, Go, red, 5, 2, -8, Go, white, 5, 6, -8, Go, white, 5, 7, -8, Go, , 
30, 6, green, 5, 5, -10, Go, red, 5, 3, -10, Go, white, 5, 7, -10, Go, white, 5, 8, -10, Go, , 
30, 7, green, 6, 5, -12, Go, red, 5, 4, -12, Stop, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, , 
30, 8, green, 7, 5, -14, Go, red, 5, 4, -14, Go, white, 5, 9, -14, Exited, ,,,,, , 
30, 9, green, 8, 5, -16, Go, red, 5, 5, -16, Go, ,,,,, ,,,,, , 
30, 10, green, 9, 5, -18, Exited, red, 5, 6, -18, Go, ,,,,, ,,,,, , 
30, 11, ,,,,, red, 5, 7, -20, Go, ,,,,, ,,,,, , 
30, 12, ,,,,, red, 5, 8, -22, Go, ,,,,, ,,,,, , 
30, 13, ,,,,, red, 5, 9, -24, Exited, ,,,,, ,,,,, , 


31, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, , 
31, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, white, 5, 3, -2, Go, white, 5, 4, -2, Go, , 
31, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Stop, white, 5, 4, -4, Go, white, 5, 5, -4, Go, , 
31, 4, green, 4, 5, -6, Stop, red, 5, 3, -6, Stop, white, 5, 5, -6, Go, white, 5, 6, -6, Go, , 
31, 5, green, 4, 5, -8, Go, red, 5, 3, -8, Go, white, 5, 6, -8, Go, white, 5, 7, -8, Go, , 
31, 6, green, 5, 5, -10, Go, red, 5, 4, -10, Stop, white, 5, 7, -10, Go, white, 5, 8, -10, Go, , 
31, 7, green, 6, 5, -12, Go, red, 5, 4, -12, Go, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, , 
31, 8, green, 7, 5, -14, Go, red, 5, 5, -14, Go, white, 5, 9, -14, Exited, ,,,,, , 
31, 9, green, 8, 5, -16, Go, red, 5, 6, -16, Go, ,,,,, ,,,,, , 
31, 10, green, 9, 5, -18, Exited, red, 5, 7, -18, Go, ,,,,, ,,,,, , 
31, 11, ,,,,, red, 5, 8, -20, Go, ,,,,, ,,,,, , 
31, 12, ,,,,, red, 5, 9, -22, Exited, ,,,,, ,,,,, , 


32, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, , 
32, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, white, 5, 3, -2, Go, white, 5, 4, -2, Go, , 
32, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Stop, white, 5, 4, -4, Go, white, 5, 5, -4, Go, , 
32, 4, green, 4, 5, -6, Stop, red, 5, 3, -6, Stop, white, 5, 5, -6, Go, white, 5, 6, -6, Go, , 
32, 5, green, 4, 5, -8, Stop, red, 5, 3, -8, Go, white, 5, 6, -8, Go, white, 5, 7, -8, Go, , 
32, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, white, 5, 7, -10, Go, white, 5, 8, -10, Go, , 
32, 7, green, 4, 5, -12, Stop, red, 5, 4, -12, Go, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, , 
32, 8, green, 4, 5, -14, Stop, red, 5, 5, -14, Go, white, 5, 9, -14, Exited, ,,,,, , 
32, 9, green, 4, 5, -16, Stop, red, 5, 6, -16, Go, ,,,,, ,,,,, , 
32, 10, green, 4, 5, -18, Go, red, 5, 7, -18, Go, ,,,,, ,,,,, , 
32, 11, green, 5, 5, -20, Go, red, 5, 8, -20, Go, ,,,,, ,,,,, , 
32, 12, green, 6, 5, -22, Go, red, 5, 9, -22, Exited, ,,,,, ,,,,, , 
32, 13, green, 7, 5, -24, Go, ,,,,, ,,,,, ,,,,, , 
32, 14, green, 8, 5, -26, Go, ,,,,, ,,,,, ,,,,, , 
32, 15, green, 9, 5, -28, Exited, ,,,,, ,,,,, ,,,,, , 


33, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, , 
33, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, white, 5, 3, -2, Go, white, 5, 4, -2, Go, , 
33, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Stop, white, 5, 4, -4, Go, white, 5, 5, -4, Go, , 
33, 4, green, 4, 5, -6, Stop, red, 5, 3, -6, Stop, white, 5, 5, -6, Go, white, 5, 6, -6, Go, , 
33, 5, green, 4, 5, -8, Stop, red, 5, 3, -8, Go, white, 5, 6, -8, Go, white, 5, 7, -8, Go, , 
33, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, white, 5, 7, -10, Go, white, 5, 8, -10, Go, , 
33, 7, green, 4, 5, -12, Stop, red, 5, 4, -12, Stop, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, , 
33, 8, green, 4, 5, -14, Stop, red, 5, 4, -14, Stop, white, 5, 9, -14, Exited, ,,,,, , 
33, 9, green, 4, 5, -16, Stop, red, 5, 4, -16, Stop, ,,,,, ,,,,, , 
33, 10, green, 4, 5, -18, Stop, red, 5, 4, -18, Stop, ,,,,, ,,,,, , 
33, 11, green, 4, 5, -20, Stop, red, 5, 4, -20, Stop, ,,,,, ,,,,, , 
33, 12, green, 4, 5, -22, Stop, red, 5, 4, -22, Stop, ,,,,, ,,,,, , 
33, 13, green, 4, 5, -24, Stop, red, 5, 4, -24, Stop, ,,,,, ,,,,, , 
33, 14, green, 4, 5, -26, Stop, red, 5, 4, -26, Stop, ,,,,, ,,,,, , 
33, 15, green, 4, 5, -28, Stop, red, 5, 4, -28, Stop, ,,,,, ,,,,, , 
33, 16, green, 4, 5, -30, Stop, red, 5, 4, -30, Go, ,,,,, ,,,,, , 
33, 17, green, 4, 5, -32, Stop, red, 5, 5, -32, Go, ,,,,, ,,,,, , 
33, 18, green, 4, 5, -34, Go, red, 5, 6, -34, Go, ,,,,, ,,,,, , 
33, 19, green, 5, 5, -36, Go, red, 5, 7, -36, Go, ,,,,, ,,,,, , 
33, 20, green, 6, 5, -38, Go, red, 5, 8, -38, Go, ,,,,, ,,,,, , 
33, 21, green, 7, 5, -40, Exited, red, 5, 9, -40, Exited, ,,,,, ,,,,, , 


34, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, , 
34, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Stop, white, 5, 3, -2, Go, white, 5, 4, -2, Go, , 
34, 3, green, 3, 5, -4, Go, red, 5, 2, -4, Stop, white, 5, 4, -4, Go, white, 5, 5, -4, Go, , 
34, 4, green, 4, 5, -6, Stop, red, 5, 2, -6, Stop, white, 5, 5, -6, Go, white, 5, 6, -6, Go, , 
34, 5, green, 4, 5, -8, Go, red, 5, 2, -8, Go, white, 5, 6, -8, Go, white, 5, 7, -8, Go, , 
34, 6, green, 5, 5, -10, Go, red, 5, 3, -10, Go, white, 5, 7, -10, Go, white, 5, 8, -10, Go, , 
34, 7, green, 6, 5, -12, Go, red, 5, 4, -12, Go, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, , 
34, 8, green, 7, 5, -14, Go, red, 5, 5, -14, Go, white, 5, 9, -14, Exited, ,,,,, , 
34, 9, green, 8, 5, -16, Go, red, 5, 6, -16, Go, ,,,,, ,,,,, , 
34, 10, green, 9, 5, -18, Exited, red, 5, 7, -18, Go, ,,,,, ,,,,, , 
34, 11, ,,,,, red, 5, 8, -20, Go, ,,,,, ,,,,, , 
34, 12, ,,,,, red, 5, 9, -22, Exited, ,,,,, ,,,,, , 


35, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, , 
35, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, white, 5, 3, -2, Go, white, 5, 4, -2, Go, , 
35, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Stop, white, 5, 4, -4, Go, white, 5, 5, -4, Go, , 
35, 4, green, 4, 5, -6, Stop, red, 5, 3, -6, Stop, white, 5, 5, -6, Go, white, 5, 6, -6, Go, , 
35, 5, green, 4, 5, -8, Stop, red, 5, 3, -8, Go, white, 5, 6, -8, Go, white, 5, 7, -8, Go, , 
35, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, white, 5, 7, -10, Go, white, 5, 8, -10, Go, , 
35, 7, green, 4, 5, -12, Stop, red, 5, 4, -12, Stop, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, , 
35, 8, green, 4, 5, -14, Stop, red, 5, 4, -14, Stop, white, 5, 9, -14, Exited, ,,,,, , 
35, 9, green, 4, 5, -16, Stop, red, 5, 4, -16, Stop, ,,,,, ,,,,, , 
35, 10, green, 4, 5, -18, Stop, red, 5, 4, -18, Stop, ,,,,, ,,,,, , 
35, 11, green, 4, 5, -20, Stop, red, 5, 4, -20, Stop, ,,,,, ,,,,, , 
35, 12, green, 4, 5, -22, Stop, red, 5, 4, -22, Stop, ,,,,, ,,,,, , 
35, 13, green, 4, 5, -24, Stop, red, 5, 4, -24, Stop, ,,,,, ,,,,, , 
35, 14, green, 4, 5, -26, Stop, red, 5, 4, -26, Stop, ,,,,, ,,,,, , 
35, 15, green, 4, 5, -28, Stop, red, 5, 4, -28, Stop, ,,,,, ,,,,, , 
35, 16, green, 4, 5, -30, Stop, red, 5, 4, -30, Stop, ,,,,, ,,,,, , 
35, 17, green, 4, 5, -32, Go, red, 5, 4, -32, Go, ,,,,, ,,,,, , 
35, 18, green, 5, 5, -39, Crashed, red, 5, 5, -39, Crashed, ,,,,, ,,,,, , 



36, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, , 
36, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, white, 5, 3, -2, Go, white, 5, 4, -2, Go, , 
36, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Stop, white, 5, 4, -4, Go, white, 5, 5, -4, Go, , 
36, 4, green, 4, 5, -6, Stop, red, 5, 3, -6, Stop, white, 5, 5, -6, Go, white, 5, 6, -6, Go, , 
36, 5, green, 4, 5, -8, Stop, red, 5, 3, -8, Go, white, 5, 6, -8, Go, white, 5, 7, -8, Go, , 
36, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, white, 5, 7, -10, Go, white, 5, 8, -10, Go, , 
36, 7, green, 4, 5, -12, Stop, red, 5, 4, -12, Go, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, , 
36, 8, green, 4, 5, -14, Stop, red, 5, 5, -14, Go, white, 5, 9, -14, Exited, ,,,,, , 
36, 9, green, 4, 5, -16, Go, red, 5, 6, -16, Go, ,,,,, ,,,,, , 
36, 10, green, 5, 5, -18, Go, red, 5, 7, -18, Go, ,,,,, ,,,,, , 
36, 11, green, 6, 5, -20, Go, red, 5, 8, -20, Go, ,,,,, ,,,,, , 
36, 12, green, 7, 5, -22, Go, red, 5, 9, -22, Exited, ,,,,, ,,,,, , 
36, 13, green, 8, 5, -24, Go, ,,,,, ,,,,, ,,,,, , 
36, 14, green, 9, 5, -26, Exited, ,,,,, ,,,,, ,,,,, , 


37, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, , 
37, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Stop, white, 5, 3, -2, Go, white, 5, 4, -2, Go, , 
37, 3, green, 3, 5, -4, Go, red, 5, 2, -4, Stop, white, 5, 4, -4, Go, white, 5, 5, -4, Go, , 
37, 4, green, 4, 5, -6, Stop, red, 5, 2, -6, Stop, white, 5, 5, -6, Go, white, 5, 6, -6, Go, , 
37, 5, green, 4, 5, -8, Go, red, 5, 2, -8, Go, white, 5, 6, -8, Go, white, 5, 7, -8, Go, , 
37, 6, green, 5, 5, -10, Go, red, 5, 3, -10, Stop, white, 5, 7, -10, Go, white, 5, 8, -10, Go, , 
37, 7, green, 6, 5, -12, Go, red, 5, 3, -12, Go, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, , 
37, 8, green, 7, 5, -14, Go, red, 5, 4, -14, Stop, white, 5, 9, -14, Exited, ,,,,, , 
37, 9, green, 8, 5, -16, Go, red, 5, 4, -16, Go, ,,,,, ,,,,, , 
