Sim, Time step, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, 
4, 11, green, 7, 5, -20, Go, red, 5, 8, -20, Go, ,,,,, ,,,,, , 
4, 12, green, 8, 5, -22, Go, red, 5, 9, -22, Exited, ,,,,, ,,,,, , 
4, 13, green, 9, 5, -24, Exited, ,,,,, ,,,,, ,,,,, , 


5, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, , 
5, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, white, 5, 3, -2, Go, white, 5, 4, -2, Go, , 
5, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Stop, white, 5, 4, -4, Go, white, 5, 5, -4, Go, , 
5, 4, green, 4, 5, -6, Stop, red, 5, 3, -6, Stop, white, 5, 5, -6, Go, white, 5, 6, -6, Go, , 
5, 5, green, 4, 5, -8, Stop, red, 5, 3, -8, Go, white, 5, 6, -8, Go, white, 5, 7, -8, Go, , 
5, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, white, 5, 7, -10, Go, white, 5, 8, -10, Go, , 
5, 7, green, 4, 5, -12, Go, red, 5, 4, -12, Go, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, , 
5, 8, green, 5, 5, -19, Crashed, red, 5, 5, -19, Crashed, white, 5, 9, -14, Exited, ,,,,, , 



6, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, , 
6, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, white, 5, 3, -2, Go, white, 5, 4, -2, Go, , 
6, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Stop, white, 5, 4, -4, Go, white, 5, 5, -4, Go, , 
6, 4, green, 4, 5, -6, Stop, red, 5, 3, -6, Go, white, 5, 5, -6, Go, white, 5, 6, -6, Go, , 
6, 5, green, 4, 5, -8, Stop, red, 5, 4, -8, Stop, white, 5, 6, -8, Go, white, 5, 7, -8, Go, , 
6, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, white, 5, 7, -10, Go, white, 5, 8, -10, Go, , 
6, 7, green, 4, 5, -12, Stop, red, 5, 4, -12, Go, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, , 
6, 8, green, 4, 5, -14, Go, red, 5, 5, -14, Go, white, 5, 9, -14, Exited, ,,,,, , 
6, 9, green, 5, 5, -16, Go, red, 5, 6, -16, Go, ,,,,, ,,,,, , 
6, 10, green, 6, 5, -18, Go, red, 5, 7, -18, Go, ,,,,, ,,,,, , 
6, 11, green, 7, 5, -20, Go, red, 5, 8, -20, Go, ,,,,, ,,,,, , 
6, 12, green, 8, 5, -22, Go, red, 5, 9, -22, Exited, ,,,,, ,,,,, , 
6, 13, green, 9, 5, -24, Exited, ,,,,, ,,,,, ,,,,, , 


7, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, , 
7, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, white, 5, 3, -2, Go, white, 5, 4, -2, Go, , 
7, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Stop, white, 5, 4, -4, Go, white, 5, 5, -4, Go, , 
7, 4, green, 4, 5, -6, Stop, red, 5, 3, -6, Stop, white, 5, 5, -6, Go, white, 5, 6, -6, Go, , 
7, 5, green, 4, 5, -8, Stop, red, 5, 3, -8, Go, white, 5, 6, -8, Go, white, 5, 7, -8, Go, , 
7, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, white, 5, 7, -10, Go, white, 5, 8, -10, Go, , 
7, 7, green, 4, 5, -12, Stop, red, 5, 4, -12, Stop, white, 5, 8, -12, Go, white, 5, 9, -12, Exited, , 
7, 8, green, 4, 5, -14, Stop, red, 5, 4, -14, Stop, white, 5, 9, -14, Exited, ,,,,, , 
7, 9, green, 4, 5, -16, Stop, red, 5, 4, -16, Go, ,,,,, ,,,,, , 
7, 10, green, 4, 5, -18, Go, red, 5, 5, -18, Go, ,,,,, ,,,,, , 
7, 11, green, 5, 5, -20, Go, red, 5, 6, -20, Go, ,,,,, ,,,,, , 
7, 12, green, 6, 5, -22, Go, red, 5, 7, -22, Go, ,,,,, ,,,,, , 
7, 13, green, 7, 5, -24, Go, red, 5, 8, -24, Go, ,,,,, ,,,,, , 
7, 14, green, 8, 5, -26, Go, red, 5, 9, -26, Exited, ,,,,, ,,,,, , 
7, 15, green, 9, 5, -28, Exited, ,,,,, ,,,,, ,,,,, , 


8, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, white, 5, 2, 0, Go, white, 5, 3, 0, Go, , 
