Time_stamp,green_car_x,green_car_y,green_car_reward,red_car_x,red_car_y,red_car_reward,white_car_x,white_car_y,white_car_reward,green_car_decision,red_car_decision,white_car_decision,Simulation
1,,,,,,,,,,,,,21
1,,,,,,,,,,,,,21
1,,,,,,,,,,,,,21
1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,Go,Go,Go,22
2,1.0,2.0,0.0,2.0,2.0,-2.0,1.0,3.0,0.0,Lane,Go,Go,22
3,2.0,2.0,-3.0,2.0,3.0,-2.0,1.0,4.0,-2.0,Go,Go,Go,22
4,2.0,3.0,-3.0,2.0,4.0,-2.0,1.0,5.0,-4.0,Go,Go,Go,22
5,2.0,4.0,-3.0,2.0,5.0,-2.0,1.0,6.0,-6.0,Go,Lane,Go,22
6,2.0,5.0,-5.0,1.0,5.0,-5.0,1.0,7.0,-6.0,Go,Go,Go,22
7,2.0,6.0,-7.0,1.0,6.0,-5.0,1.0,8.0,-6.0,Go,Go,Go,22
8,2.0,7.0,-9.0,1.0,7.0,-5.0,1.0,9.0,-6.0,Go,Go,,22
9,2.0,8.0,-11.0,1.0,8.0,-7.0,,,,Go,Go,,22
10,2.0,9.0,-13.0,1.0,9.0,-9.0,,,,,,,22
1,,,,,,,,,,,,,22
1,,,,,,,,,,,,,22
1,,,,,,,,,,,,,22
1,,,,,,,,,,,,,22
1,,,,,,,,,,,,,22
1,,,,,,,,,,,,,22
1,,,,,,,,,,,,,22
1,,,,,,,,,,,,,22
1,,,,,,,,,,,,,22
1,,,,,,,,,,,,,22
1,,,,,,,,,,,,,22
1,,,,,,,,,,,,,22
1,,,,,,,,,,,,,22
1,,,,,,,,,,,,,22
1,,,,,,,,,,,,,22
1,,,,,,,,,,,,,22
1,,,,,,,,,,,,,22
1,,,,,,,,,,,,,22
1,,,,,,,,,,,,,22
1,,,,,,,,,,,,,22
1,,,,,,,,,,,,,22
1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,Go,Go,Go,23
2,1.0,2.0,0.0,2.0,2.0,-2.0,1.0,3.0,0.0,Lane,Go,Go,23
3,2.0,2.0,-3.0,2.0,3.0,-2.0,1.0,4.0,-2.0,Go,Go,Go,23
4,2.0,3.0,-3.0,2.0,4.0,-2.0,1.0,5.0,-4.0,Go,Go,Go,23
5,2.0,4.0,-3.0,2.0,5.0,-2.0,1.0,6.0,-6.0,Go,Lane,Go,23
6,2.0,5.0,-5.0,1.0,5.0,-5.0,1.0,7.0,-6.0,Go,Go,Go,23
7,2.0,6.0,-7.0,1.0,6.0,-5.0,1.0,8.0,-6.0,Go,Go,Go,23
8,2.0,7.0,-9.0,1.0,7.0,-5.0,1.0,9.0,-6.0,Go,Go,,23
9,2.0,8.0,-11.0,1.0,8.0,-7.0,,,,Go,Go,,23
10,2.0,9.0,-13.0,1.0,9.0,-9.0,,,,,,,23
1,,,,,,,,,,,,,23
1,,,,,,,,,,,,,23
1,,,,,,,,,,,,,23
1,,,,,,,,,,,,,23
1,,,,,,,,,,,,,23
1,,,,,,,,,,,,,23
1,,,,,,,,,,,,,23
1,,,,,,,,,,,,,23
1,,,,,,,,,,,,,23
1,,,,,,,,,,,,,23
1,,,,,,,,,,,,,23
1,,,,,,,,,,,,,23
1,,,,,,,,,,,,,23
1,,,,,,,,,,,,,23
1,,,,,,,,,,,,,23
1,,,,,,,,,,,,,23
1,,,,,,,,,,,,,23
1,,,,,,,,,,,,,23
1,,,,,,,,,,,,,23
1,,,,,,,,,,,,,23
1,,,,,,,,,,,,,23
1,,,,,,,,,,,,,23
1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,Go,Go,Go,24
2,1.0,2.0,0.0,2.0,2.0,-2.0,1.0,3.0,0.0,Lane,Go,Go,24
3,2.0,2.0,-3.0,2.0,3.0,-2.0,1.0,4.0,-2.0,Go,Go,Go,24
4,2.0,3.0,-3.0,2.0,4.0,-2.0,1.0,5.0,-4.0,Go,Go,Go,24
5,2.0,4.0,-3.0,2.0,5.0,-2.0,1.0,6.0,-6.0,Go,Lane,Go,24
6,2.0,5.0,-5.0,1.0,5.0,-5.0,1.0,7.0,-6.0,Go,Go,Go,24
7,2.0,6.0,-7.0,1.0,6.0,-5.0,1.0,8.0,-6.0,Go,Go,Go,24
8,2.0,7.0,-9.0,1.0,7.0,-5.0,1.0,9.0,-6.0,Go,Go,,24
9,2.0,8.0,-11.0,1.0,8.0,-7.0,,,,Go,Go,,24
10,2.0,9.0,-13.0,1.0,9.0,-9.0,,,,,,,24
1,,,,,,,,,,,,,24
1,,,,,,,,,,,,,24
1,,,,,,,,,,,,,24
1,,,,,,,,,,,,,24
1,,,,,,,,,,,,,24
1,,,,,,,,,,,,,24
1,,,,,,,,,,,,,24
1,,,,,,,,,,,,,24
1,,,,,,,,,,,,,24
1,,,,,,,,,,,,,24
1,,,,,,,,,,,,,24
1,,,,,,,,,,,,,24
1,,,,,,,,,,,,,24
1,,,,,,,,,,,,,24
1,,,,,,,,,,,,,24
1,,,,,,,,,,,,,24
1,,,,,,,,,,,,,24
1,,,,,,,,,,,,,24
1,,,,,,,,,,,,,24
1,,,,,,,,,,,,,24
1,,,,,,,,,,,,,24
1,,,,,,,,,,,,,24
1,,,,,,,,,,,,,24
1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,Go,Go,Go,25
2,1.0,2.0,0.0,2.0,2.0,-2.0,1.0,3.0,0.0,Lane,Go,Go,25
3,2.0,2.0,-3.0,2.0,3.0,-2.0,1.0,4.0,-2.0,Go,Go,Go,25
4,2.0,3.0,-3.0,2.0,4.0,-2.0,1.0,5.0,-4.0,Go,Go,Go,25
5,2.0,4.0,-3.0,2.0,5.0,-2.0,1.0,6.0,-6.0,Go,Lane,Go,25
6,2.0,5.0,-5.0,1.0,5.0,-5.0,1.0,7.0,-6.0,Go,Go,Go,25
7,2.0,6.0,-7.0,1.0,6.0,-5.0,1.0,8.0,-6.0,Go,Go,Go,25
8,2.0,7.0,-9.0,1.0,7.0,-5.0,1.0,9.0,-6.0,Go,Go,,25
9,2.0,8.0,-11.0,1.0,8.0,-7.0,,,,Go,Go,,25
10,2.0,9.0,-13.0,1.0,9.0,-9.0,,,,,,,25
1,,,,,,,,,,,,,25
1,,,,,,,,,,,,,25
1,,,,,,,,,,,,,25
1,,,,,,,,,,,,,25
1,,,,,,,,,,,,,25
1,,,,,,,,,,,,,25
1,,,,,,,,,,,,,25
1,,,,,,,,,,,,,25
1,,,,,,,,,,,,,25
1,,,,,,,,,,,,,25
1,,,,,,,,,,,,,25
1,,,,,,,,,,,,,25
1,,,,,,,,,,,,,25
1,,,,,,,,,,,,,25
1,,,,,,,,,,,,,25
1,,,,,,,,,,,,,25
1,,,,,,,,,,,,,25
1,,,,,,,,,,,,,25
1,,,,,,,,,,,,,25
1,,,,,,,,,,,,,25
1,,,,,,,,,,,,,25
1,,,,,,,,,,,,,25
1,,,,,,,,,,,,,25
1,,,,,,,,,,,,,25
1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,Go,Go,Go,26
2,1.0,2.0,0.0,2.0,2.0,-2.0,1.0,3.0,0.0,Lane,Go,Go,26
3,2.0,2.0,-3.0,2.0,3.0,-2.0,1.0,4.0,-2.0,Go,Go,Go,26
4,2.0,3.0,-3.0,2.0,4.0,-2.0,1.0,5.0,-4.0,Go,Go,Go,26
5,2.0,4.0,-3.0,2.0,5.0,-2.0,1.0,6.0,-6.0,Go,Lane,Go,26
6,2.0,5.0,-5.0,1.0,5.0,-5.0,1.0,7.0,-6.0,Go,Go,Go,26
7,2.0,6.0,-7.0,1.0,6.0,-5.0,1.0,8.0,-6.0,Go,Go,Go,26
8,2.0,7.0,-9.0,1.0,7.0,-5.0,1.0,9.0,-6.0,Go,Go,,26
9,2.0,8.0,-11.0,1.0,8.0,-7.0,,,,Go,Go,,26
10,2.0,9.0,-13.0,1.0,9.0,-9.0,,,,,,,26
1,,,,,,,,,,,,,26
1,,,,,,,,,,,,,26
1,,,,,,,,,,,,,26
1,,,,,,,,,,,,,26
1,,,,,,,,,,,,,26
1,,,,,,,,,,,,,26
1,,,,,,,,,,,,,26
1,,,,,,,,,,,,,26
1,,,,,,,,,,,,,26
1,,,,,,,,,,,,,26
1,,,,,,,,,,,,,26
1,,,,,,,,,,,,,26
1,,,,,,,,,,,,,26
1,,,,,,,,,,,,,26
1,,,,,,,,,,,,,26
1,,,,,,,,,,,,,26
1,,,,,,,,,,,,,26
1,,,,,,,,,,,,,26
1,,,,,,,,,,,,,26
1,,,,,,,,,,,,,26
1,,,,,,,,,,,,,26
1,,,,,,,,,,,,,26
1,,,,,,,,,,,,,26
1,,,,,,,,,,,,,26
1,,,,,,,,,,,,,26
1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,Go,Go,Go,27
2,1.0,2.0,0.0,2.0,2.0,-2.0,1.0,3.0,0.0,Lane,Go,Go,27
3,2.0,2.0,-3.0,2.0,3.0,-2.0,1.0,4.0,-2.0,Go,Go,Go,27
4,2.0,3.0,-3.0,2.0,4.0,-2.0,1.0,5.0,-4.0,Go,Go,Go,27
5,2.0,4.0,-3.0,2.0,5.0,-2.0,1.0,6.0,-6.0,Go,Lane,Go,27
6,2.0,5.0,-5.0,1.0,5.0,-5.0,1.0,7.0,-6.0,Go,Go,Go,27
7,2.0,6.0,-7.0,1.0,6.0,-5.0,1.0,8.0,-6.0,Go,Go,Go,27
8,2.0,7.0,-9.0,1.0,7.0,-5.0,1.0,9.0,-6.0,Go,Go,,27
9,2.0,8.0,-11.0,1.0,8.0,-7.0,,,,Go,Go,,27
10,2.0,9.0,-13.0,1.0,9.0,-9.0,,,,,,,27
1,,,,,,,,,,,,,27
1,,,,,,,,,,,,,27
1,,,,,,,,,,,,,27
1,,,,,,,,,,,,,27
1,,,,,,,,,,,,,27
1,,,,,,,,,,,,,27
1,,,,,,,,,,,,,27
1,,,,,,,,,,,,,27
1,,,,,,,,,,,,,27
1,,,,,,,,,,,,,27
1,,,,,,,,,,,,,27
1,,,,,,,,,,,,,27
1,,,,,,,,,,,,,27
1,,,,,,,,,,,,,27
1,,,,,,,,,,,,,27
1,,,,,,,,,,,,,27
1,,,,,,,,,,,,,27
1,,,,,,,,,,,,,27
1,,,,,,,,,,,,,27
1,,,,,,,,,,,,,27
1,,,,,,,,,,,,,27
1,,,,,,,,,,,,,27
1,,,,,,,,,,,,,27
1,,,,,,,,,,,,,27
1,,,,,,,,,,,,,27
1,,,,,,,,,,,,,27
1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,Go,Go,Go,28
2,1.0,2.0,0.0,2.0,2.0,-2.0,1.0,3.0,0.0,Lane,Go,Go,28
3,2.0,2.0,-3.0,2.0,3.0,-2.0,1.0,4.0,-2.0,Go,Go,Go,28
4,2.0,3.0,-3.0,2.0,4.0,-2.0,1.0,5.0,-4.0,Go,Go,Go,28
5,2.0,4.0,-3.0,2.0,5.0,-2.0,1.0,6.0,-6.0,Go,Lane,Go,28
6,2.0,5.0,-5.0,1.0,5.0,-5.0,1.0,7.0,-6.0,Go,Go,Go,28
7,2.0,6.0,-7.0,1.0,6.0,-5.0,1.0,8.0,-6.0,Go,Go,Go,28
8,2.0,7.0,-9.0,1.0,7.0,-5.0,1.0,9.0,-6.0,Go,Go,,28
9,2.0,8.0,-11.0,1.0,8.0,-7.0,,,,Go,Go,,28
10,2.0,9.0,-13.0,1.0,9.0,-9.0,,,,,,,28
1,,,,,,,,,,,,,28
1,,,,,,,,,,,,,28
1,,,,,,,,,,,,,28
1,,,,,,,,,,,,,28
1,,,,,,,,,,,,,28
1,,,,,,,,,,,,,28
1,,,,,,,,,,,,,28
1,,,,,,,,,,,,,28
1,,,,,,,,,,,,,28
1,,,,,,,,,,,,,28
1,,,,,,,,,,,,,28
1,,,,,,,,,,,,,28
1,,,,,,,,,,,,,28
1,,,,,,,,,,,,,28
1,,,,,,,,,,,,,28
1,,,,,,,,,,,,,28
1,,,,,,,,,,,,,28
1,,,,,,,,,,,,,28
1,,,,,,,,,,,,,28
1,,,,,,,,,,,,,28
1,,,,,,,,,,,,,28
1,,,,,,,,,,,,,28
1,,,,,,,,,,,,,28
1,,,,,,,,,,,,,28
1,,,,,,,,,,,,,28
1,,,,,,,,,,,,,28
1,,,,,,,,,,,,,28
1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,Go,Go,Go,29
2,1.0,2.0,0.0,2.0,2.0,-2.0,1.0,3.0,0.0,Lane,Go,Go,29
3,2.0,2.0,-3.0,2.0,3.0,-2.0,1.0,4.0,-2.0,Go,Go,Go,29
4,2.0,3.0,-3.0,2.0,4.0,-2.0,1.0,5.0,-4.0,Go,Go,Go,29
5,2.0,4.0,-3.0,2.0,5.0,-2.0,1.0,6.0,-6.0,Go,Lane,Go,29
6,2.0,5.0,-5.0,1.0,5.0,-5.0,1.0,7.0,-6.0,Go,Go,Go,29
7,2.0,6.0,-7.0,1.0,6.0,-5.0,1.0,8.0,-6.0,Go,Go,Go,29
8,2.0,7.0,-9.0,1.0,7.0,-5.0,1.0,9.0,-6.0,Go,Go,,29
9,2.0,8.0,-11.0,1.0,8.0,-7.0,,,,Go,Go,,29
10,2.0,9.0,-13.0,1.0,9.0,-9.0,,,,,,,29
1,,,,,,,,,,,,,29
1,,,,,,,,,,,,,29
1,,,,,,,,,,,,,29
1,,,,,,,,,,,,,29
1,,,,,,,,,,,,,29
1,,,,,,,,,,,,,29
1,,,,,,,,,,,,,29
1,,,,,,,,,,,,,29
1,,,,,,,,,,,,,29
1,,,,,,,,,,,,,29
1,,,,,,,,,,,,,29
1,,,,,,,,,,,,,29
1,,,,,,,,,,,,,29
1,,,,,,,,,,,,,29
1,,,,,,,,,,,,,29
1,,,,,,,,,,,,,29
1,,,,,,,,,,,,,29
1,,,,,,,,,,,,,29
1,,,,,,,,,,,,,29
1,,,,,,,,,,,,,29
1,,,,,,,,,,,,,29
1,,,,,,,,,,,,,29
1,,,,,,,,,,,,,29
1,,,,,,,,,,,,,29
1,,,,,,,,,,,,,29
1,,,,,,,,,,,,,29
1,,,,,,,,,,,,,29
1,,,,,,,,,,,,,29
1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,Go,Go,Go,30
2,1.0,2.0,0.0,2.0,2.0,-2.0,1.0,3.0,0.0,Lane,Go,Go,30
3,2.0,2.0,-3.0,2.0,3.0,-2.0,1.0,4.0,-2.0,Go,Go,Go,30
4,2.0,3.0,-3.0,2.0,4.0,-2.0,1.0,5.0,-4.0,Go,Go,Go,30
5,2.0,4.0,-3.0,2.0,5.0,-2.0,1.0,6.0,-6.0,Go,Lane,Go,30
6,2.0,5.0,-5.0,1.0,5.0,-5.0,1.0,7.0,-6.0,Go,Go,Go,30
7,2.0,6.0,-7.0,1.0,6.0,-5.0,1.0,8.0,-6.0,Go,Go,Go,30
8,2.0,7.0,-9.0,1.0,7.0,-5.0,1.0,9.0,-6.0,Go,Go,,30
9,2.0,8.0,-11.0,1.0,8.0,-7.0,,,,Go,Go,,30
10,2.0,9.0,-13.0,1.0,9.0,-9.0,,,,,,,30
1,,,,,,,,,,,,,30
1,,,,,,,,,,,,,30
1,,,,,,,,,,,,,30
1,,,,,,,,,,,,,30
1,,,,,,,,,,,,,30
1,,,,,,,,,,,,,30
1,,,,,,,,,,,,,30
1,,,,,,,,,,,,,30
1,,,,,,,,,,,,,30
1,,,,,,,,,,,,,30
1,,,,,,,,,,,,,30
1,,,,,,,,,,,,,30
1,,,,,,,,,,,,,30
1,,,,,,,,,,,,,30
1,,,,,,,,,,,,,30
1,,,,,,,,,,,,,30
1,,,,,,,,,,,,,30
1,,,,,,,,,,,,,30
1,,,,,,,,,,,,,30
1,,,,,,,,,,,,,30
1,,,,,,,,,,,,,30
1,,,,,,,,,,,,,30
1,,,,,,,,,,,,,30
1,,,,,,,,,,,,,30
1,,,,,,,,,,,,,30
1,,,,,,,,,,,,,30
1,,,,,,,,,,,,,30
1,,,,,,,,,,,,,30
1,,,,,,,,,,,,,30
1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,Go,Go,Go,31
2,1.0,2.0,0.0,2.0,2.0,-2.0,1.0,3.0,0.0,Lane,Go,Go,31
3,2.0,2.0,-3.0,2.0,3.0,-2.0,1.0,4.0,-2.0,Go,Go,Go,31
4,2.0,3.0,-3.0,2.0,4.0,-2.0,1.0,5.0,-4.0,Go,Go,Go,31
5,2.0,4.0,-3.0,2.0,5.0,-2.0,1.0,6.0,-6.0,Go,Lane,Go,31
6,2.0,5.0,-5.0,1.0,5.0,-5.0,1.0,7.0,-6.0,Go,Go,Go,31
7,2.0,6.0,-7.0,1.0,6.0,-5.0,1.0,8.0,-6.0,Go,Go,Go,31
8,2.0,7.0,-9.0,1.0,7.0,-5.0,1.0,9.0,-6.0,Go,Go,,31
9,2.0,8.0,-11.0,1.0,8.0,-7.0,,,,Go,Go,,31
10,2.0,9.0,-13.0,1.0,9.0,-9.0,,,,,,,31
1,,,,,,,,,,,,,31
1,,,,,,,,,,,,,31
1,,,,,,,,,,,,,31
1,,,,,,,,,,,,,31
1,,,,,,,,,,,,,31
1,,,,,,,,,,,,,31
1,,,,,,,,,,,,,31
1,,,,,,,,,,,,,31
1,,,,,,,,,,,,,31
1,,,,,,,,,,,,,31
1,,,,,,,,,,,,,31
1,,,,,,,,,,,,,31
1,,,,,,,,,,,,,31
1,,,,,,,,,,,,,31
1,,,,,,,,,,,,,31
1,,,,,,,,,,,,,31
1,,,,,,,,,,,,,31
1,,,,,,,,,,,,,31
1,,,,,,,,,,,,,31
1,,,,,,,,,,,,,31
1,,,,,,,,,,,,,31
1,,,,,,,,,,,,,31
1,,,,,,,,,,,,,31
1,,,,,,,,,,,,,31
1,,,,,,,,,,,,,31
1,,,,,,,,,,,,,31
1,,,,,,,,,,,,,31
1,,,,,,,,,,,,,31
1,,,,,,,,,,,,,31
1,,,,,,,,,,,,,31
1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,Go,Go,Go,32
2,1.0,2.0,0.0,2.0,2.0,-2.0,1.0,3.0,0.0,Lane,Go,Go,32
3,2.0,2.0,-3.0,2.0,3.0,-2.0,1.0,4.0,-2.0,Go,Go,Go,32
4,2.0,3.0,-3.0,2.0,4.0,-2.0,1.0,5.0,-4.0,Go,Go,Go,32
5,2.0,4.0,-3.0,2.0,5.0,-2.0,1.0,6.0,-6.0,Go,Lane,Go,32
6,2.0,5.0,-5.0,1.0,5.0,-5.0,1.0,7.0,-6.0,Go,Go,Go,32
7,2.0,6.0,-7.0,1.0,6.0,-5.0,1.0,8.0,-6.0,Go,Go,Go,32
8,2.0,7.0,-9.0,1.0,7.0,-5.0,1.0,9.0,-6.0,Go,Go,,32
9,2.0,8.0,-11.0,1.0,8.0,-7.0,,,,Go,Go,,32
10,2.0,9.0,-13.0,1.0,9.0,-9.0,,,,,,,32
1,,,,,,,,,,,,,32
1,,,,,,,,,,,,,32
1,,,,,,,,,,,,,32
1,,,,,,,,,,,,,32
1,,,,,,,,,,,,,32
1,,,,,,,,,,,,,32
1,,,,,,,,,,,,,32
1,,,,,,,,,,,,,32
1,,,,,,,,,,,,,32
1,,,,,,,,,,,,,32
1,,,,,,,,,,,,,32
1,,,,,,,,,,,,,32
1,,,,,,,,,,,,,32
1,,,,,,,,,,,,,32
1,,,,,,,,,,,,,32
1,,,,,,,,,,,,,32
1,,,,,,,,,,,,,32
1,,,,,,,,,,,,,32
1,,,,,,,,,,,,,32
1,,,,,,,,,,,,,32
1,,,,,,,,,,,,,32
1,,,,,,,,,,,,,32
1,,,,,,,,,,,,,32
1,,,,,,,,,,,,,32
1,,,,,,,,,,,,,32
1,,,,,,,,,,,,,32
1,,,,,,,,,,,,,32
1,,,,,,,,,,,,,32
1,,,,,,,,,,,,,32
1,,,,,,,,,,,,,32
1,,,,,,,,,,,,,32
1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,Go,Go,Go,33
2,1.0,2.0,0.0,2.0,2.0,-2.0,1.0,3.0,0.0,Lane,Go,Go,33
3,2.0,2.0,-3.0,2.0,3.0,-2.0,1.0,4.0,-2.0,Go,Go,Go,33
4,2.0,3.0,-3.0,2.0,4.0,-2.0,1.0,5.0,-4.0,Go,Go,Go,33
5,2.0,4.0,-3.0,2.0,5.0,-2.0,1.0,6.0,-6.0,Go,Lane,Go,33
6,2.0,5.0,-5.0,1.0,5.0,-5.0,1.0,7.0,-6.0,Go,Go,Go,33
7,2.0,6.0,-7.0,1.0,6.0,-5.0,1.0,8.0,-6.0,Go,Go,Go,33
8,2.0,7.0,-9.0,1.0,7.0,-5.0,1.0,9.0,-6.0,Go,Go,,33
9,2.0,8.0,-11.0,1.0,8.0,-7.0,,,,Go,Go,,33
10,2.0,9.0,-13.0,1.0,9.0,-9.0,,,,,,,33
1,,,,,,,,,,,,,33
1,,,,,,,,,,,,,33
1,,,,,,,,,,,,,33
1,,,,,,,,,,,,,33
1,,,,,,,,,,,,,33
1,,,,,,,,,,,,,33
1,,,,,,,,,,,,,33
1,,,,,,,,,,,,,33
1,,,,,,,,,,,,,33
1,,,,,,,,,,,,,33
1,,,,,,,,,,,,,33
1,,,,,,,,,,,,,33
1,,,,,,,,,,,,,33
1,,,,,,,,,,,,,33
1,,,,,,,,,,,,,33
1,,,,,,,,,,,,,33
1,,,,,,,,,,,,,33
1,,,,,,,,,,,,,33
1,,,,,,,,,,,,,33
1,,,,,,,,,,,,,33
1,,,,,,,,,,,,,33
1,,,,,,,,,,,,,33
1,,,,,,,,,,,,,33
1,,,,,,,,,,,,,33
1,,,,,,,,,,,,,33
1,,,,,,,,,,,,,33
1,,,,,,,,,,,,,33
1,,,,,,,,,,,,,33
1,,,,,,,,,,,,,33
1,,,,,,,,,,,,,33
1,,,,,,,,,,,,,33
1,,,,,,,,,,,,,33
1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,Go,Go,Go,34
2,1.0,2.0,0.0,2.0,2.0,-2.0,1.0,3.0,0.0,Lane,Go,Go,34
3,2.0,2.0,-3.0,2.0,3.0,-2.0,1.0,4.0,-2.0,Go,Go,Go,34
4,2.0,3.0,-3.0,2.0,4.0,-2.0,1.0,5.0,-4.0,Go,Go,Go,34
5,2.0,4.0,-3.0,2.0,5.0,-2.0,1.0,6.0,-6.0,Go,Lane,Go,34
6,2.0,5.0,-5.0,1.0,5.0,-5.0,1.0,7.0,-6.0,Go,Go,Go,34
7,2.0,6.0,-7.0,1.0,6.0,-5.0,1.0,8.0,-6.0,Go,Go,Go,34
8,2.0,7.0,-9.0,1.0,7.0,-5.0,1.0,9.0,-6.0,Go,Go,,34
9,2.0,8.0,-11.0,1.0,8.0,-7.0,,,,Go,Go,,34
10,2.0,9.0,-13.0,1.0,9.0,-9.0,,,,,,,34
1,,,,,,,,,,,,,34
1,,,,,,,,,,,,,34
1,,,,,,,,,,,,,34
1,,,,,,,,,,,,,34
1,,,,,,,,,,,,,34
1,,,,,,,,,,,,,34
1,,,,,,,,,,,,,34
1,,,,,,,,,,,,,34
1,,,,,,,,,,,,,34
1,,,,,,,,,,,,,34
1,,,,,,,,,,,,,34
1,,,,,,,,,,,,,34
1,,,,,,,,,,,,,34
1,,,,,,,,,,,,,34
1,,,,,,,,,,,,,34
1,,,,,,,,,,,,,34
1,,,,,,,,,,,,,34
1,,,,,,,,,,,,,34
1,,,,,,,,,,,,,34
1,,,,,,,,,,,,,34
1,,,,,,,,,,,,,34
1,,,,,,,,,,,,,34
1,,,,,,,,,,,,,34
1,,,,,,,,,,,,,34
1,,,,,,,,,,,,,34
1,,,,,,,,,,,,,34
1,,,,,,,,,,,,,34
1,,,,,,,,,,,,,34
1,,,,,,,,,,,,,34
1,,,,,,,,,,,,,34
1,,,,,,,,,,,,,34
1,,,,,,,,,,,,,34
1,,,,,,,,,,,,,34
1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,Go,Go,Go,35
2,1.0,2.0,0.0,2.0,2.0,-2.0,1.0,3.0,0.0,Lane,Go,Go,35
3,2.0,2.0,-3.0,2.0,3.0,-2.0,1.0,4.0,-2.0,Go,Go,Go,35
4,2.0,3.0,-3.0,2.0,4.0,-2.0,1.0,5.0,-4.0,Go,Go,Go,35
5,2.0,4.0,-3.0,2.0,5.0,-2.0,1.0,6.0,-6.0,Go,Lane,Go,35
6,2.0,5.0,-5.0,1.0,5.0,-5.0,1.0,7.0,-6.0,Go,Go,Go,35
7,2.0,6.0,-7.0,1.0,6.0,-5.0,1.0,8.0,-6.0,Go,Go,Go,35
8,2.0,7.0,-9.0,1.0,7.0,-5.0,1.0,9.0,-6.0,Go,Go,,35
9,2.0,8.0,-11.0,1.0,8.0,-7.0,,,,Go,Go,,35
10,2.0,9.0,-13.0,1.0,9.0,-9.0,,,,,,,35
1,,,,,,,,,,,,,35
1,,,,,,,,,,,,,35
1,,,,,,,,,,,,,35
1,,,,,,,,,,,,,35
1,,,,,,,,,,,,,35
1,,,,,,,,,,,,,35
1,,,,,,,,,,,,,35
1,,,,,,,,,,,,,35
1,,,,,,,,,,,,,35
1,,,,,,,,,,,,,35
1,,,,,,,,,,,,,35
1,,,,,,,,,,,,,35
1,,,,,,,,,,,,,35
1,,,,,,,,,,,,,35
1,,,,,,,,,,,,,35
1,,,,,,,,,,,,,35
1,,,,,,,,,,,,,35
1,,,,,,,,,,,,,35
1,,,,,,,,,,,,,35
1,,,,,,,,,,,,,35
1,,,,,,,,,,,,,35
1,,,,,,,,,,,,,35
1,,,,,,,,,,,,,35
1,,,,,,,,,,,,,35
1,,,,,,,,,,,,,35
1,,,,,,,,,,,,,35
1,,,,,,,,,,,,,35
1,,,,,,,,,,,,,35
1,,,,,,,,,,,,,35
1,,,,,,,,,,,,,35
1,,,,,,,,,,,,,35
1,,,,,,,,,,,,,35
1,,,,,,,,,,,,,35
1,,,,,,,,,,,,,35
1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,Go,Go,Go,36
2,1.0,2.0,0.0,2.0,2.0,-2.0,1.0,3.0,0.0,Lane,Go,Go,36
3,2.0,2.0,-3.0,2.0,3.0,-2.0,1.0,4.0,-2.0,Go,Go,Go,36
4,2.0,3.0,-3.0,2.0,4.0,-2.0,1.0,5.0,-4.0,Go,Go,Go,36
5,2.0,4.0,-3.0,2.0,5.0,-2.0,1.0,6.0,-6.0,Go,Lane,Go,36
6,2.0,5.0,-5.0,1.0,5.0,-5.0,1.0,7.0,-6.0,Go,Go,Go,36
7,2.0,6.0,-7.0,1.0,6.0,-5.0,1.0,8.0,-6.0,Go,Go,Go,36
8,2.0,7.0,-9.0,1.0,7.0,-5.0,1.0,9.0,-6.0,Go,Go,,36
9,2.0,8.0,-11.0,1.0,8.0,-7.0,,,,Go,Go,,36
10,2.0,9.0,-13.0,1.0,9.0,-9.0,,,,,,,36
1,,,,,,,,,,,,,36
1,,,,,,,,,,,,,36
1,,,,,,,,,,,,,36
1,,,,,,,,,,,,,36
1,,,,,,,,,,,,,36
1,,,,,,,,,,,,,36
1,,,,,,,,,,,,,36
1,,,,,,,,,,,,,36
1,,,,,,,,,,,,,36
1,,,,,,,,,,,,,36
1,,,,,,,,,,,,,36
1,,,,,,,,,,,,,36
1,,,,,,,,,,,,,36
1,,,,,,,,,,,,,36
1,,,,,,,,,,,,,36
1,,,,,,,,,,,,,36
1,,,,,,,,,,,,,36
1,,,,,,,,,,,,,36
1,,,,,,,,,,,,,36
1,,,,,,,,,,,,,36
1,,,,,,,,,,,,,36
1,,,,,,,,,,,,,36
1,,,,,,,,,,,,,36
1,,,,,,,,,,,,,36
