Sim, Time step, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, 
7, 10, green, 4, 5, -18, Stop, red, 5, 4, -18, Stop, , 
7, 11, green, 4, 5, -20, Stop, red, 5, 4, -20, Stop, , 
7, 12, green, 4, 5, -22, Stop, red, 5, 4, -22, Stop, , 
7, 13, green, 4, 5, -24, Stop, red, 5, 4, -24, Stop, , 
7, 14, green, 4, 5, -26, Stop, red, 5, 4, -26, Go, , 
7, 15, green, 4, 5, -28, Stop, red, 5, 5, -28, Go, , 
7, 16, green, 4, 5, -30, Go, red, 5, 6, -30, Go, , 
7, 17, green, 5, 5, -32, Go, red, 5, 7, -32, Go, , 
7, 18, green, 6, 5, -34, Go, red, 5, 8, -34, Go, , 
7, 19, green, 7, 5, -36, Go, red, 5, 9, -36, Exited, , 
7, 20, green, 8, 5, -38, Go, ,,,,, , 
7, 21, green, 9, 5, -40, Exited, ,,,,, , 



8, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
8, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, , 
8, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Go, , 
8, 4, green, 4, 5, -6, Stop, red, 5, 4, -6, Stop, , 
8, 5, green, 4, 5, -8, Stop, red, 5, 4, -8, Stop, , 
8, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, , 
8, 7, green, 4, 5, -12, Stop, red, 5, 4, -12, Stop, , 
8, 8, green, 4, 5, -14, Stop, red, 5, 4, -14, Go, , 
8, 9, green, 4, 5, -16, Stop, red, 5, 5, -16, Go, , 
8, 10, green, 4, 5, -18, Go, red, 5, 6, -18, Go, , 
8, 11, green, 5, 5, -20, Go, red, 5, 7, -20, Go, , 
8, 12, green, 6, 5, -22, Go, red, 5, 8, -22, Go, , 
8, 13, green, 7, 5, -24, Go, red, 5, 9, -24, Exited, , 
8, 14, green, 8, 5, -26, Go, ,,,,, , 
8, 15, green, 9, 5, -28, Exited, ,,,,, , 


9, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
9, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, , 
9, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Go, , 
9, 4, green, 4, 5, -6, Stop, red, 5, 4, -6, Stop, , 
9, 5, green, 4, 5, -8, Stop, red, 5, 4, -8, Go, , 
9, 6, green, 4, 5, -10, Stop, red, 5, 5, -10, Go, , 
9, 7, green, 4, 5, -12, Go, red, 5, 6, -12, Go, , 
9, 8, green, 5, 5, -14, Go, red, 5, 7, -14, Go, , 
9, 9, green, 6, 5, -16, Go, red, 5, 8, -16, Go, , 
9, 10, green, 7, 5, -18, Go, red, 5, 9, -18, Exited, , 
9, 11, green, 8, 5, -20, Go, ,,,,, , 
9, 12, green, 9, 5, -22, Exited, ,,,,, , 


10, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
10, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, , 
10, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Go, , 
10, 4, green, 4, 5, -6, Stop, red, 5, 4, -6, Stop, , 
10, 5, green, 4, 5, -8, Stop, red, 5, 4, -8, Stop, , 
10, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, , 
10, 7, green, 4, 5, -12, Stop, red, 5, 4, -12, Go, , 
10, 8, green, 4, 5, -14, Stop, red, 5, 5, -14, Go, , 
10, 9, green, 4, 5, -16, Go, red, 5, 6, -16, Go, , 
10, 10, green, 5, 5, -18, Go, red, 5, 7, -18, Go, , 
10, 11, green, 6, 5, -20, Go, red, 5, 8, -20, Go, , 
10, 12, green, 7, 5, -22, Go, red, 5, 9, -22, Exited, , 
10, 13, green, 8, 5, -24, Go, ,,,,, , 
10, 14, green, 9, 5, -26, Exited, ,,,,, , 


11, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
11, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, , 
11, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Stop, , 
11, 4, green, 4, 5, -6, Stop, red, 5, 3, -6, Go, , 
11, 5, green, 4, 5, -8, Stop, red, 5, 4, -8, Stop, , 
11, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, , 
11, 7, green, 4, 5, -12, Go, red, 5, 4, -12, Go, , 
11, 8, green, 5, 5, -19, Crashed, red, 5, 5, -19, Crashed, , 



12, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
12, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, , 
12, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Go, , 
12, 4, green, 4, 5, -6, Stop, red, 5, 4, -6, Stop, , 
12, 5, green, 4, 5, -8, Stop, red, 5, 4, -8, Stop, , 
12, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Go, , 
12, 7, green, 4, 5, -12, Stop, red, 5, 5, -12, Go, , 
12, 8, green, 4, 5, -14, Go, red, 5, 6, -14, Go, , 
12, 9, green, 5, 5, -16, Go, red, 5, 7, -16, Go, , 
12, 10, green, 6, 5, -18, Go, red, 5, 8, -18, Go, , 
12, 11, green, 7, 5, -20, Go, red, 5, 9, -20, Exited, , 
12, 12, green, 8, 5, -22, Go, ,,,,, , 
12, 13, green, 9, 5, -24, Exited, ,,,,, , 


13, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
13, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, , 
13, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Go, , 
13, 4, green, 4, 5, -6, Stop, red, 5, 4, -6, Stop, , 
13, 5, green, 4, 5, -8, Stop, red, 5, 4, -8, Stop, , 
13, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, , 
13, 7, green, 4, 5, -12, Go, red, 5, 4, -12, Go, , 
13, 8, green, 5, 5, -19, Crashed, red, 5, 5, -19, Crashed, , 



14, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
14, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, , 
14, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Stop, , 
14, 4, green, 4, 5, -6, Go, red, 5, 3, -6, Go, , 
14, 5, green, 5, 5, -8, Go, red, 5, 4, -8, Go, , 
14, 6, green, 6, 5, -10, Go, red, 5, 5, -10, Go, , 
14, 7, green, 7, 5, -12, Go, red, 5, 6, -12, Go, , 
14, 8, green, 8, 5, -14, Go, red, 5, 7, -14, Go, , 
14, 9, green, 9, 5, -16, Exited, red, 5, 8, -16, Go, , 
14, 10, ,,,,, red, 5, 9, -18, Exited, , 


15, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
15, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, , 
15, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Go, , 
15, 4, green, 4, 5, -6, Stop, red, 5, 4, -6, Stop, , 
15, 5, green, 4, 5, -8, Stop, red, 5, 4, -8, Stop, , 
15, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, , 
15, 7, green, 4, 5, -12, Stop, red, 5, 4, -12, Stop, , 
15, 8, green, 4, 5, -14, Stop, red, 5, 4, -14, Stop, , 
15, 9, green, 4, 5, -16, Go, red, 5, 4, -16, Stop, , 
15, 10, green, 5, 5, -18, Go, red, 5, 4, -18, Go, , 
15, 11, green, 6, 5, -20, Go, red, 5, 5, -20, Go, , 
15, 12, green, 7, 5, -22, Go, red, 5, 6, -22, Go, , 
15, 13, green, 8, 5, -24, Go, red, 5, 7, -24, Go, , 
15, 14, green, 9, 5, -26, Exited, red, 5, 8, -26, Go, , 
15, 15, ,,,,, red, 5, 9, -28, Exited, , 


16, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
16, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, , 
16, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Go, , 
16, 4, green, 4, 5, -6, Stop, red, 5, 4, -6, Stop, , 
16, 5, green, 4, 5, -8, Stop, red, 5, 4, -8, Stop, , 
16, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, , 
16, 7, green, 4, 5, -12, Stop, red, 5, 4, -12, Stop, , 
16, 8, green, 4, 5, -14, Stop, red, 5, 4, -14, Go, , 
16, 9, green, 4, 5, -16, Stop, red, 5, 5, -16, Go, , 
16, 10, green, 4, 5, -18, Go, red, 5, 6, -18, Go, , 
16, 11, green, 5, 5, -20, Go, red, 5, 7, -20, Go, , 
16, 12, green, 6, 5, -22, Go, red, 5, 8, -22, Go, , 
16, 13, green, 7, 5, -24, Go, red, 5, 9, -24, Exited, , 
16, 14, green, 8, 5, -26, Go, ,,,,, , 
16, 15, green, 9, 5, -28, Exited, ,,,,, , 


17, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
