Sim, Time step, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, 
7, 12, green, 8, 5, -22, Go, red, 5, 7, -22, Go, , 
7, 13, green, 9, 5, -24, Exited, red, 5, 8, -24, Go, , 
7, 14, ,,,,, red, 5, 9, -26, Exited, , 


8, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
8, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, , 
8, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Stop, , 
8, 4, green, 4, 5, -6, Stop, red, 5, 3, -6, Go, , 
8, 5, green, 4, 5, -8, Stop, red, 5, 4, -8, Stop, , 
8, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, , 
8, 7, green, 4, 5, -12, Stop, red, 5, 4, -12, Stop, , 
8, 8, green, 4, 5, -14, Stop, red, 5, 4, -14, Stop, , 
8, 9, green, 4, 5, -16, Stop, red, 5, 4, -16, Stop, , 
8, 10, green, 4, 5, -18, Stop, red, 5, 4, -18, Stop, , 
8, 11, green, 4, 5, -20, Stop, red, 5, 4, -20, Stop, , 
8, 12, green, 4, 5, -22, Stop, red, 5, 4, -22, Stop, , 
8, 13, green, 4, 5, -24, Stop, red, 5, 4, -24, Stop, , 
8, 14, green, 4, 5, -26, Stop, red, 5, 4, -26, Stop, , 
8, 15, green, 4, 5, -28, Stop, red, 5, 4, -28, Go, , 
8, 16, green, 4, 5, -30, Stop, red, 5, 5, -30, Go, , 
8, 17, green, 4, 5, -32, Go, red, 5, 6, -32, Go, , 
8, 18, green, 5, 5, -34, Go, red, 5, 7, -34, Go, , 
8, 19, green, 6, 5, -36, Go, red, 5, 8, -36, Go, , 
8, 20, green, 7, 5, -38, Go, red, 5, 9, -38, Exited, , 
8, 21, green, 8, 5, -40, Exited, ,,,,, , 


9, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
9, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Stop, , 
9, 3, green, 3, 5, -4, Go, red, 5, 2, -4, Go, , 
9, 4, green, 4, 5, -6, Stop, red, 5, 3, -6, Stop, , 
9, 5, green, 4, 5, -8, Stop, red, 5, 3, -8, Go, , 
9, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, , 
9, 7, green, 4, 5, -12, Stop, red, 5, 4, -12, Stop, , 
9, 8, green, 4, 5, -14, Stop, red, 5, 4, -14, Stop, , 
9, 9, green, 4, 5, -16, Go, red, 5, 4, -16, Stop, , 
9, 10, green, 5, 5, -18, Go, red, 5, 4, -18, Go, , 
9, 11, green, 6, 5, -20, Go, red, 5, 5, -20, Go, , 
9, 12, green, 7, 5, -22, Go, red, 5, 6, -22, Go, , 
9, 13, green, 8, 5, -24, Go, red, 5, 7, -24, Go, , 
9, 14, green, 9, 5, -26, Exited, red, 5, 8, -26, Go, , 
9, 15, ,,,,, red, 5, 9, -28, Exited, , 


10, 1, green, 1, 5, 0, Go, red, 5, 1, 0, Go, , 
10, 2, green, 2, 5, -2, Go, red, 5, 2, -2, Go, , 
10, 3, green, 3, 5, -4, Go, red, 5, 3, -4, Go, , 
10, 4, green, 4, 5, -6, Stop, red, 5, 4, -6, Stop, , 
10, 5, green, 4, 5, -8, Stop, red, 5, 4, -8, Stop, , 
10, 6, green, 4, 5, -10, Stop, red, 5, 4, -10, Stop, , 
10, 7, green, 4, 5, -12, Stop, red, 5, 4, -12, Stop, , 
10, 8, green, 4, 5, -14, Stop, red, 5, 4, -14, Stop, , 
10, 9, green, 4, 5, -16, Stop, red, 5, 4, -16, Stop, , 
10, 10, green, 4, 5, -18, Stop, red, 5, 4, -18, Stop, , 
10, 11, green, 4, 5, -20, Stop, red, 5, 4, -20, Stop, , 
10, 12, green, 4, 5, -22, Stop, red, 5, 4, -22, Stop, , 
10, 13, green, 4, 5, -24, Stop, red, 5, 4, -24, Stop, , 
10, 14, green, 4, 5, -26, Stop, red, 5, 4, -26, Stop, , 
10, 15, green, 4, 5, -28, Stop, red, 5, 4, -28, Go, , 
10, 16, green, 4, 5, -30, Stop, red, 5, 5, -30, Go, , 
