Sim, Time step, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, Color, X, Y, Reward, Move, 
4, 9, green, 2, 8, -3, Go, red, 2, 9, 0, Exited, ,,,,, ,,,,, ,,,,, ,,,,, , 
4, 10, green, 2, 9, -5, Exited, ,,,,, ,,,,, ,,,,, ,,,,, ,,,,, , 


5, 1, green, 1, 1, 0, Go, red, 2, 1, 0, Go, white, 1, 2, 0, Go, white, 2, 2, 0, Go, white, 1, 4, 0, Go, white, 2, 4, 0, Go, , 
5, 2, green, 1, 2, 0, Go, red, 2, 2, 0, Go, white, 1, 3, 0, Go, white, 2, 3, 0, Go, white, 1, 5, 0, Go, white, 2, 5, 0, Go, , 
5, 3, green, 1, 3, 0, Go, red, 2, 3, 0, Go, white, 1, 4, 0, Go, white, 2, 4, 0, Go, white, 1, 6, 0, Go, white, 2, 6, 0, Go, , 
5, 4, green, 1, 4, 0, Go, red, 2, 4, 0, Go, white, 1, 5, 0, Go, white, 2, 5, 0, Go, white, 1, 7, 0, Go, white, 2, 7, 0, Go, , 
5, 5, green, 1, 5, 0, Go, red, 2, 5, 0, Go, white, 1, 6, 0, Go, white, 2, 6, 0, Go, white, 1, 8, 0, Go, white, 2, 8, 0, Go, , 
5, 6, green, 1, 6, 0, Go, red, 2, 6, 0, Go, white, 1, 7, 0, Go, white, 2, 7, 0, Go, white, 1, 9, 0, Exited, white, 2, 9, 0, Exited, , 
5, 7, green, 1, 7, 0, Go, red, 2, 7, 0, Go, white, 1, 8, 0, Go, white, 2, 8, 0, Go, ,,,,, ,,,,, , 
5, 8, green, 1, 8, 0, Go, red, 2, 8, 0, Go, white, 1, 9, 0, Exited, white, 2, 9, 0, Exited, ,,,,, ,,,,, , 
5, 9, green, 1, 9, -2, Exited, red, 2, 9, -2, Exited, ,,,,, ,,,,, ,,,,, ,,,,, , 


6, 1, green, 1, 1, 0, Go, red, 2, 1, 0, Go, white, 1, 2, 0, Go, white, 2, 2, 0, Go, white, 1, 4, 0, Go, white, 2, 4, 0, Go, , 
6, 2, green, 1, 2, 0, Go, red, 2, 2, 0, Go, white, 1, 3, 0, Go, white, 2, 3, 0, Go, white, 1, 5, 0, Go, white, 2, 5, 0, Go, , 
